Status,Title,URL,LocalFile,FileType,Size,LastModified,DownloadResult,Level,Referrer
"Parsed","天津易点付-网络科技有限公司","http://www.edianpay.cn/","../www.edianpay.cn\www.edianpay.html","HTML","11374","","200 OK","0",""
"Parsed","","http://www.edianpay.cn/templets/default/css/cemian.css","../www.edianpay.cn\templets\default\css\cemian.css","HTML","2105","Fri, 09 Oct 2015 07:01:53 GMT","200 OK","1","http://www.edianpay.cn/"
"Parsed","","http://www.edianpay.cn/templets/default/css/bootstrap_main_validationEngine.css","../www.edianpay.cn\templets\default\css\bootstrap_main_validationEngine.css","HTML","140930","Fri, 13 Nov 2015 06:19:18 GMT","200 OK","1","http://www.edianpay.cn/"
"Parsed","","http://www.edianpay.cn/templets/default/js/jquery-1.9.1.min.js","../www.edianpay.cn\templets\default\js\jquery-1.9.1.min.js","HTML","92546","Fri, 09 Oct 2015 07:06:18 GMT","200 OK","1","http://www.edianpay.cn/"
"Parsed","","http://www.edianpay.cn/templets/default/js/jquery.cxscroll.js","../www.edianpay.cn\templets\default\js\jquery.cxscroll.js","HTML","8954","Fri, 09 Oct 2015 07:08:12 GMT","200 OK","1","http://www.edianpay.cn/"
"Parsed","","http://www.edianpay.cn/templets/default/js/jquery.transit.js","../www.edianpay.cn\templets\default\js\jquery.transit.js","HTML","23970","Fri, 09 Oct 2015 07:09:14 GMT","200 OK","1","http://www.edianpay.cn/"
"Parsed","","http://www.edianpay.cn/templets/default/js/jquery.validationEngine-zh-CN.js","../www.edianpay.cn\templets\default\js\jquery.validationEngine-zh-CN.js","HTML","10256","Fri, 09 Oct 2015 07:10:35 GMT","200 OK","1","http://www.edianpay.cn/"
"Parsed","","http://www.edianpay.cn/templets/default/js/jquery.validationEngine.min.js","../www.edianpay.cn\templets\default\js\jquery.validationEngine.min.js","HTML","27413","Fri, 09 Oct 2015 07:10:58 GMT","200 OK","1","http://www.edianpay.cn/"
"Parsed","","http://www.edianpay.cn/templets/default/js/main.js","../www.edianpay.cn\templets\default\js\main.js","HTML","5983","Sat, 10 Oct 2015 07:30:33 GMT","200 OK","1","http://www.edianpay.cn/"
"Parsed","","http://www.edianpay.cn/templets/default/js/cemian.js","../www.edianpay.cn\templets\default\js\cemian.js","HTML","478","Fri, 09 Oct 2015 06:45:43 GMT","200 OK","1","http://www.edianpay.cn/"
"Parsed","","http://www.edianpay.cn/templets/default/js/jquery.SuperSlide.2.1.1.js","../www.edianpay.cn\templets\default\js\jquery.SuperSlide.2.1.1.js","HTML","11422","Fri, 09 Oct 2015 06:45:49 GMT","200 OK","1","http://www.edianpay.cn/"
"Parsed","天津易点付-网络科技有限公司","http://www.edianpay.cn/plus/list.php?tid=1","../www.edianpay.cn\plus\list.php�tid=1.html","HTML","14162","","200 OK","1","http://www.edianpay.cn/"
"Parsed","天津易点付-网络科技有限公司","http://www.edianpay.cn/plus/list.php?tid=2","../www.edianpay.cn\plus\list.php�tid=2.html","HTML","9318","","200 OK","1","http://www.edianpay.cn/"
"Parsed","天津易点付-网络科技有限公司","http://www.edianpay.cn/plus/list.php?tid=4","../www.edianpay.cn\plus\list.php�tid=4.html","HTML","7310","","200 OK","1","http://www.edianpay.cn/"
"Parsed","天津易点付-网络科技有限公司","http://www.edianpay.cn/plus/list.php?tid=3","../www.edianpay.cn\plus\list.php�tid=3.html","HTML","6714","","200 OK","1","http://www.edianpay.cn/"
"Parsed","天津易点付-网络科技有限公司","http://www.edianpay.cn/plus/list.php?tid=5","../www.edianpay.cn\plus\list.php�tid=5.html","HTML","10204","","200 OK","1","http://www.edianpay.cn/"
"Saved","稻惢米琴行网站","http://www.edianpay.cn/templets/default/images/al_05.jpg","../www.edianpay.cn\templets\default\images\al_05.jpg","Images","64709","Mon, 12 Oct 2015 07:35:30 GMT","200 OK","1","http://www.edianpay.cn/"
"Saved","五色土c2c理财","http://www.edianpay.cn/templets/default/images/al_04.jpg","../www.edianpay.cn\templets\default\images\al_04.jpg","Images","66145","Mon, 12 Oct 2015 07:33:22 GMT","200 OK","1","http://www.edianpay.cn/"
"Saved","久诚意鑫理财站","http://www.edianpay.cn/templets/default/images/al_03.jpg","../www.edianpay.cn\templets\default\images\al_03.jpg","Images","50951","Mon, 12 Oct 2015 07:33:15 GMT","200 OK","1","http://www.edianpay.cn/"
